불용어 제거 리뷰,피부타입,피부고민,자극도
건성 지성 피부 타입건성 아토피 건선 만족한 점 피부 장벽을 튼튼하게 해주는 세라마이드 콜레스테롤 지방산 3가지 성분 다 담고 있는 보습 크림 찾기 힘든데 에스트라 크림은 세 성분 다 캡슐 알갱이 형태로 크림 제형 사이사이에 콕콕 박혀있어요 제품 구매 후 제가 다니는 피부과에서도 판매 중인 걸 뭔가 제품성이 더 보장된 느낌도 들었어요 발림성도 부드럽고 바른 직후뿐만 아니라 일정 지난 후에도 속건조 싹 잡아줘요 아쉬운 점 보습력에 충실한 제품이다 보니 유분감이 느껴지고 모공을 막아 트러블을 유발할 수도 있는 성분이 포함되어 있어서 지성 피부 타입이신 분들에겐 추천하기가 힘들 같아요 화장할 화장이 떠서 각질이 부각되면 물리적 화학적 각질 제거보다는 보습력이 좋은 크림으로 각질을 잠재우면서 피부장벽을 튼튼하게 만들어 주는 방법을 추천드려요 피부의 각질층은 외부 환경으로부터 피부를 보호하는 역할을 하기 자주 반복되는 각질 제거는 피부에 자극을 줄 수도 있을뿐더러 일시적인 방편일 뿐 근본적인 해결법은 아니기 때문이에요,건성에 좋아요,보습에 좋아요,자극없이 순해요
아 지성들은 안 쓰는 게 좋을듯 유분 철철 이거 쓰고 이마 다 뒤집히고 뾰루지 개많이남 바른 직후에는 되게 산뜻하게 마무리되는듯 싶더니 5분만 지나도 유분올라와서 미끌미끌거림 느낌 싫어하는 사람으로써 다신 안 쓸거같음,건성에 좋아요,보습에 좋아요,보통이에요
겨울철 필수 템 속건조 사악 잡아주고 민감해진 피부에 보호막을 형성해주어서 피부따끔거림가려움건조함 잡아줍니다 특히 추운날 건조함에 갈라진 수정화장시 면봉에 발라 톡톡 스며들게 한 후 화장하면 제품을 발랐을때보다 들뜸이 적고 화장이 오래가요다량 바를시 들뜸주의 같은라인 에센스사용 후 크림 발라주면 환상의 조합 개인적으로 저녁에 바르고 자기를 추천메이크업 전 바르면 과해서인지 들뜸이슈가 많았음 파워건성은 사용해도 무관할 같음 피부 쩌억쩌억 갈릴때마다 계절이 바뀔때 기초라인을 사용해야할지 모르겠을때 꼭 사용해 보길 바랍니다,복합성에 좋아요,보습에 좋아요,자극없이 순해요
겨울에는 에스트라 크림까지 사용하고있어요 자극없고 보습력도 좋아서 꾸준히 사용하고잇는 제품이에요,건성에 좋아요,보습에 좋아요,자극없이 순해요
속건조 잡아줘서 겨울되면 이크림 사용해요 촉촉하고 피부에 자극없어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
안녕하세요 에스트라쳐돌이입니다 에스트라 제품없애면 1인시위하러갈거에요 처음 쓰게된건 에이시카였는데 피부가 한창 뒤집어졌을때 자극없이 쓰기좋은 젤크림입니다 말은 젤크림인데 발리고나면 날라가지않는 젤크림이라 적당한수분감진정에 효과봤구요 그다음은 리제덤라인이었는데 사세요 캡슐때문에 흡수될때까지 잘 두드려주시고 다음날 일어나면 도자기피부마냥 코팅되어있을거에요 샘플로 먼저써본 아토베리어크림 이거 저자극으로 트러블피부분들이 수분크림으로 많이쓰시길래 기대안했는데 뭐죠 리제덤과 동일하게 캡슐알갱이같은게 있는데 얘는 피부속까지 깊게 흡수가됩니다 리제덤쓰고 이거써보면 아 확실히 수분감은 차이나네를 느낄수있어요 피부타입은 아무나 바를수있다가 맞는데 얼굴에 기름이 폭발하시는분들은 로션쪽이 괜찮으실듯 로션도 선물받아서써봤는데 가볍고 좋아요 건성들이 덜건조한 여름에 바르기좋아요 뭔가 두서없는 에스트라 찬양글같은데 맞구요 사랑해요 에스트라 저는 겨울에 몸에 로션 얼굴에 크림발라요ㅎ,건성에 좋아요,보습에 좋아요,자극없이 순해요
크림증정 기획 부탁드립니다 집에 에센스가 쌓여있어요 여행용 증정 나오면 좋겠어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
건성과 민감성의 구원템 이것만 쓰는데요두껍게 올려서 팩처럼 써도 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
에스트라 크림 크림은 늦가을 겨울되면 돌아오는 같네요 겨울엔 꾸준히 사용하는 크림이에요 트러블 무난하게 사용하기 좋아요,복합성에 좋아요,진정에 좋아요,보통이에요
요즘 날씨때문인지 피부가 푸석푸석하고 거칠해져서 피부보습을 구입해서 사용하고 있는 제품입니다 민감하고 건조한 피부의 손상된 피부장벽을 강화해주는 고보습 장벽크림이라 그런지 나름 인기있는 제품이더라구요ㅎㅎ 몇일 사용했는데피부개선도 되는것 같고 꾸준히 사용해봐야할것 같아요 좋은제품같네요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
