불용어 제거 리뷰,피부타입,피부고민,자극도
가을 겨울용으로 무난 부드럽게 펴발라짐 약간의 향이 있는데 나쁘지 않음 듬뿍 발라서 금방 써요 도움이 돼요 눌러주시면 더 솔직하고 자세한 후기 쓸때 힘이 됩니당,복합성에 좋아요,진정에 좋아요,보통이에요
닥터지 블랙 스네일크림 한달사용후기 크림이 쫀쫀해서 영양감이 풍부한것같아요 얼굴 전체적으로 사용해주고있고 아침에 사용하면 메이크업이 밀린듯한 느낌이 들어서 저녁에만 사용해주고있습니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
가을 겨울용으로 무난 부드럽게 펴발라짐 약간의 향이 있는데 나쁘지 않음 듬뿍 발라서 금방 써요 도움이 돼요,건성에 좋아요,보습에 좋아요,자극없이 순해요
남자친구한테 본품주고 저는 미니크림 발라봤는데 옛날 달팽이크림이랑 좀다르게 찐득거리는느낌 전혀없고 보습감 대박이예요 남자친구도 대만족해서 요즘 전파하고다닌다네요ㅋㅋ 가을겨울에 바르기 젤좋은듯합니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
할머니에게 선물로 드렸다가 3대가 정착한 정착템 ㅋㅋ진짜 좋아용 영양크림으로 좋은거같아요 다들 꼭 써보세요,복합성에 좋아요,주름/미백에 좋아요,보통이에요
가을 겨울용으로 무난 부드럽게 펴발라짐 약간의 향이 있는데 나쁘지 않음 듬뿍 발라서 금방 써요 도움이 돼요 눌러주시면 더 솔직하고 자세한 후기 쓸때 힘 됩니당,건성에 좋아요,보습에 좋아요,자극없이 순해요
건조한 피부인데도 보호막 형성되는것처럼 바르고 나니 윤기가 나고 순하고 잘 맞았어요 처음써보는데 용량도 커서 한통은 엄마 드렸어요 순해서 피부에 자극없이 잘맞대요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
원 플러스 1 행사할 샀어요 피부가 건조하신 분들을 사용하기 좋을 같습니다 아주 촉촉니다,복합성에 좋아요,진정에 좋아요,보통이에요
엄마가 쓰실 크림으로 사다 드렸어요 달팽이크림 좋다는거 알았지만 닥터지에서 만든 달팽이크림이라 마음에 드네요 주름 탄력에 좋다고 하니 엄마 쓰시고 주름 없어지시길 바래요 화장전에 쓰면 밀린다고 하셔서 그게 아쉽네요 밤에 바르고 자는게 좋은것 같아요,건성에 좋아요,보습에 좋아요,보통이에요
촉촉하게 좋아서 잘 쓰신다고 하네요 앰플이랑 쓰면 효과가 더 좋다고 하셨어요,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
11 구성으로 새일할 구입하면 가성비가 좋은 크림이예욬 끈적임도 별로 없고 흡수력도 좋고 제형도 살짝 꾸덕한 느낌의 크림이고 손건조에 도움됩니다 통째사용하는지 몰라요 남았는데 세일할 쟁여였어요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
보습크림처럼 사용중입니다유분기가있어서 건성이신분들이 사용하기좋을거같아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
5통이상 사용한 크림이에요 여름에는 살짝 무거울수있지만 나머지계절에는 꼭 마지막단계 필수에요 발라주면 피부꽉 잡아주늨 느낌나면서 너무좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
끈적임별로없고 아침저녁으로발라주는데 촉촉하고좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
건성 피부인데 피부에 잘 맞는 크림이에요 10년 가까이 사용했는데 중간에 제품 사용하다가도 돌아오게 되더라구요 추가로 작은 제품도 들어있어 여행용으로 잘 사용하고 있습니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
블렉 스네일 크림은 굳 얼굴이 초초초 예민인데 크림은 자극없고 따가움없고 트러블안나고 쫀쫀해지는 느낌과 탄력 업업업 되는느낌 바르면 알꺼에요 이걸 몇년째 사용중인데 추천힙니다이건 말이필요없어요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
블랙 스네일 크림 같은 경우 꽤 오래 사용하고 있는 제품인데요 영양 보습감이 충분한 제품이라 모닝 루틴으로는 과한 같고 저는 주로 나이트 케어 시 피부 위에 소량 발라주고 있습니다 파워 건성인 저에게 충분한 보습력을 주는 화장품입니다 피부 위에 펴발랐을 번들 거리는 피부 표현이 예쁜 편이에요 개기름 같지 않습니다 특유의 향이 머리 아픈 냄새가 아니여서 사용 시 거부감이 들지 않았어요 호불호가 갈릴 수는 있을 같습니다 나이트 케어 시 가벼운 수분 크림을 바르고 단계에 닥터지 블랙 스네일 크림을 소량 발라 주는데요 엄마한테도 사드려 봤는데 괜찮다고 하시더라구요 가격 발림성 보습력 다 평타 이상은 하는 같습니다 사용 후 트러블이 올라 오거나 자극이 느껴진 적 없어 자주 애용할 생각,복합성에 좋아요,보습에 좋아요,보통이에요
제가 쓸게 아니라 어떤진 모르겠지만 저렴하게 11 잘 구매 한거 같습니다 오늘배송으로 배송도 빨리받고 조아요,건성에 좋아요,보습에 좋아요,보통이에요
가격도 저렴하고 순하고 쫀득쫀득한 느낌이 들어서 보습에 도움이 돼요 양도 많아서 부담없이 쓸 수 있어요,건성에 좋아요,보습에 좋아요,보통이에요
워낙 유명산 스네일크림 넘나 바르고 싶었는데 원쁠원이라니 발림성도 좋아요,복합성에 좋아요,진정에 좋아요,보통이에요
선물받아 전부터 사용하다 세일 기간에 세럼과 구매했어요 두개 쓰니까 더 효과적이에요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
처음구입해서바르고 잤는데 향도 좋쿠 부드럽게 잘발라지내요 겨울용 보습제로 딱이내요 세일에 3개나 들어있어서듬북듬북 바르니까좋아요,지성에 좋아요,보습에 좋아요,자극없이 순해요
몇년째 쓰는 제품이라 11로 좋은 가격에 구입햇어요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
항상 쓰는 제품이라 세일 쟁여뒀어요 촉촉한 제형이고 무거운 느낌이라 저한테 맞았어요,복합성에 좋아요,보습에 좋아요,보통이에요
벌써 사용한지 5년이 넘었네요 아주 강추합니다 피부개선에 탁월합니다,지성에 좋아요,주름/미백에 좋아요,자극이 느껴져요
자극 순해서 사용하고 있습니다 겨울이라 건조힌 피부에 좋은듯요,복합성에 좋아요,진정에 좋아요,보통이에요
쫀득하고 부드럽게 스며들어 좋아요 촉촉한 느낌이 좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
아침이든 자기전이든 바르기 좋아요 행사이벤트해서 좋네요,복합성에 좋아요,진정에 좋아요,자극없이 순해요
건성피부에 좋아요 환절기부터 겨울까지 잘 사용할 같아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
할머니께서 영양크림 필요하다고 하셔서 사드렸어요 닥터지 스네일크림 자극없이 순해요,건성에 좋아요,보습에 좋아요,자극없이 순해요
엄마가 건성피부이셔서 구매했어요 겨울이 다가오기도 점점 건조해지는 계절이라 바르면 맞는다고 하시네요,건성에 좋아요,보습에 좋아요,자극없이 순해요
할머니께서 좋아하시는 영양크림이에용 저도 보습으로 써용,복합성에 좋아요,보습에 좋아요,자극없이 순해요
크림이 쫀쫀하니 선물했는데 좋 아 합니다 가격도 합리적이네요,복합성에 좋아요,보습에 좋아요,보통이에요
자극이 없어서 좋은데 기분탓인지 적당한 유분감이 느껴지지 않았던 거 같아요 그로 인해 건성인 피부도 자꾸 말라가더라고요 옛날부터 자주 쓰던 제품이었는데 아쉽습니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
조금은 비싼데 보습이 많아서 이제품 애용하고 있어용,건성에 좋아요,보습에 좋아요,자극없이 순해요
겨울철 건조한 피부에는 닥터지 수분크림이 최고 인것같아서 미리구매했어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
세일 해서 행복ㅎㅎㅎ 어머니께서 달팽이크림 잘 맞는대요,건성에 좋아요,보습에 좋아요,자극없이 순해요
항상 잘 쓰는 제품입니다 떨어지면 재구매합니다 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
항상 잘 쓰는 제품입니다 떨어지면 재구매합니다 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
