불용어 제거 리뷰,피부타입,피부고민,자극도
피부가 건조하다는 소리를 듣고 친구의 추천을 듣고 패기있게 할인기간 고민없이 사버린 수부지인 전형적 지성피부인인데 이틀 밤에 써보고 엄마드럈숩미장 지성인들은 다들 고민없이 지나가세요 저는 지성인인데 수부지이니까 거울에 건조함을 밤으로 발라서채워줄까 하는 잠깐의 생각으로 돈을 버려버렸습니다 이거 추천해준 친규는 건성 피부였고 확실히 밤 타입이라서 건성이신분들이 사용하기에는 좋을거같아요 지성인인분들이 이거 잘 못사용하면 트러블 우다다 날수있는 주의가 있으니 꼭 샘플이나 테스트를 잘 해보고 사야겠어요 건성이신 분들이라면 자기전에 잘 듬뿓 바르고 자면 맨질맨질 피부 보습에 도움줄거같아서 추천할만 한 제품인거같아요 워낙 유명한 브랜드에 익히 알고있기에 ㅎ,건성에 좋아요,보습에 좋아요,자극없이 순해요
지인 추천템 엄마께서 사용하고 계세요 먼저 제품을 저한테 사달라고 해주신 경로가 피부가 좋으신 지인분께서 제품을 추천해주셨다고 해요 저도 제품을 로 들어서 알고있었거든요 이참에 저도 써보고 싶어서 구매하게 되었어요 꾸덕한 제형 저는 이거 발라보고 나서 놀랐어요 제형이 꽤나 무겁고 꾸덕 하더라구요 바르자마자 겨울템이다라는 생각이 들었습니다 발라봤을때 촉촉하고 보습막이 채워지는 느낌이 들었어요 지성보다는 건성분들께 더 잘맞을거 같았어요 저는 손에만 발라봤어요 손에 발라보고 나서 얼굴에는 망설여졌어요 진정 보습템 엄마는 진정이 필요할때 제품을 사용하고 계시더라구요 피부가 붉게 올라왔을때 제품을 사용하고 주무시더라구용 다음날 되면 피부가 좋아졌다고 기뻐하세요 지금 겨울에 제품만 사용하고 계시는데 이것만 발라도 아무말 안 하시는거 보면 보습에도 만족하시는 거 같아요 겨울엔 이거 제품 겨울에 아주 히트치는걸로 알고있는데 맞나용 꾸덕하고 무거운 점성있는 제형이 겨울에 알맞는거 같더라구요 저도 이거 손에 발라봤을때 느꼈지만 촉촉하고 크림같이 깊게 얼굴에 스며들어요 진정과 보습이 한번에 되구요 겨울에 크림 뭐사지 싶으시면 이거 추천드려요 이거 하나로 케어해보시는것도 좋을거 같아요 제가 제형이 꾸덕하고 무겁다 이랬는데 아마도 저는 바르는 방법을 잘 몰라서 그런거 같아용 찾아보니까 손에 덜어서 잘 펴바르는 사용방법이 있던걸로 알고있어용 제품 워낙 유명하니까 혹시나 구매하실 분들은 사용하는 방법이나 그런거 찾아보시는걸 추천드려용 올영에 가서 트라이 해보시는것두 추천해용 나에게는 저는 무거운 제형 별로 선호하지는 않아서 제품 사용 안하고 있어요 복합성인 엄마는 매일 사용하는걸루 알고 있어용 저는 지성 건성이나 복합성 피부에 추천드려용 가격이 나가지만 가격이 밤 크림에 부담스럽긴해요 가격인 이유가 있다구 생각합니당 사용하려고 구매했으면 아까웠을거 같습니다 ㅎㅎ중간에 사용중단했을거 같은 ㅎㅎㅎ 도움이 되셨다면 도움이 돼요를 눌러주세요 오늘도 좋은 하루 보내세요 긴 글 읽어주셔서 감사합니다,복합성에 좋아요,보습에 좋아요,자극없이 순해요
겨울에는 인생템인 제품입니다 겨울 외에는 사실 무거워서 안쓰게 되구요 겨울에는 겉뿐 아니라 속건조도 심한데 얘를 쓰면 다음날 확실히 달라요 바를때 약간의 백탁현상은 있지만 심하진 않아서 잘 문질러 주면 되구요 그렇다고 흡수율이 떨어진다거나 끈적임이 심하지 않아서 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
후기가 극과극이어서 작은 용량을 샀음에도 돈이 아까운 후회템 수부지극민감성좁쌀 모낭염 잘 생김 피부관리실에서 압출받고 역대급 모낭염 파티여서 유명한 재생크림 샀는데 안 맞아요ㅠ 자극받은 부위만 극소량으로 톡톡 두드려서 발랐는데 딱히 효과는 없고 폼클만으로도 잘 안 씻겨서 못 쓰고 있어요 극민감성이라 아침에는 물세안 가벼운 폼클만 쓰는데 안 닦여요 아침에 바르기에는 넘 기름져서 슈레기템됐어용 클렌징만 잘 되면 꾸준히 써보고 싶은데ㅠㅠ,건성에 좋아요,진정에 좋아요,자극이 느껴져요
한달 사용했는데 비싼 돈 주고 샀는데 뭐가 좋은지 잘 모르겠어요 딱히 재생이나 진정이 된다는 느낌도 없고 그렇다고 보습이 되는 것도 아닙니다 부딪히는 성분이 있을지도 모르고 판테놀의 효과를 정확히 받고 싶어서 세안 후 이것만 덧발랐는데 건조해요 무기자차 선크림처럼 발리기 건조합니다 제드 피겔 에라 세콜지 라인으로 갈아타야 할 같아요ㅜㅜ 한참 더 발라봐야 하는걸까,지성에 좋아요,진정에 좋아요,보통이에요
사람들 거의모두가 좋다하는덴 이유가있구나 깨달은 제품입니다 어느날 재생크림으로 유명한 이제품을 샘플로 써봤는데 너무좋아서 냅다구매했습니다 저는 자고일어나면 존에 기름기가 싹 올라오는 수부지 피부인데요 이걸 밤에 듬뿍바르고 자면 아침에 기름기가 안올라와요 뭐때문인진 모르겠지만 너무신기해요 발림성은 살짝 뻑뻑하고 허옇게 뜨는느낌이에요 문질러줘야 흡수가돼요 양조절을해야 그나마 허연기가 없는느낌 화장전엔 비추에요 번들거려요 먼가 단점만 싹 늘어놓은느낌인데 저는 밤에만 바르려고 산거라 낮에도바를거면 다른거사세용,복합성에 좋아요,진정에 좋아요,자극없이 순해요
마법같은 아이템 가격이 비싸도 항상 여분까지 해서 쟁여두는 템이에요 올영세일기간에 2만원 후반대로 내려올때가 찬스니까 사놓으세요 선크림같은 백탁있는 제형이라 스킨케어 마지막 단계에 사용해줍니다 평소루틴대로 한 다음 마지막에 코팅해주듯이 바르고 자고 일어나면 피부가 재생되어있어요 원리는 모르겠지만 효과가 너무좋아서 5년째 데일리로 쓰고있어요 아주 습한 여름 제외 내성도 없고 뭐 나는것도 없고 마법의 크림 세라마이드 라인과 궁합이 좋습니다 민감성피부장벽 무너지신분들은 특히추천이에요,건성에 좋아요,보습에 좋아요,자극없이 순해요
피부 각질 이르고 따갑고 예민할때 무조건 써요 제형이 되직한데 발림은 가벼워요 건조함도 없고 피부를 보호해주는 느낌이라 나이트스킨케어 필수템이에요,건성에 좋아요,진정에 좋아요,자극없이 순해요
피부타입은 건성이구요 평소 수분크림과 보습제로 간단하게 기초케어 있어요 에스테틱 다녀왔는데 원장님이 피부가 목말랐다며재생크림 추천해주신게 이제품이네요 구매했구요 성분도 좋고 순해서 인생시카 크림으로 불릴만하구요 올영 세일해서 착한 가격에 토너와 시카밤 구성 더해져서 넘 좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
날씨탓인지 갑자기 뒤집어져서 예전에 잘 썼던 기억에 오랜만에 재구매했어요 피부타입에는 날 추울 때만 바를 수 있는 제형이라 일부러 작은 용량으로 샀습니다 뭔가 예전이랑 향이 바뀐 같아요 갑자기 한방 약초 냄새가 나는데 정상인가요,복합성에 좋아요,진정에 좋아요,자극없이 순해요
