불용어 제거 리뷰,피부타입,피부고민,자극도
피부 약하고 민감하신분들 이거 사지마요 진심 돈버려요ㅜㅠ제 피부 꼬라지 보세요 피부 매끈했는데 이거 바르자마자 따갑고 간지럽더니 바른지 하루만에 피부 다 뒤집어졌습니다 돈버리고 피부까지 다 버림,복합성에 좋아요,주름/미백에 좋아요,자극이 느껴져요
안녕하세요솔직한 리뷰만을 남기는 볼탱양입니다 후기로 여러분들의 선택에 참고해주셨으면 좋겠습니다 후기가 도움이되셨다면 도움이 되었음 한 번 눌러 주시면 감사하겠습니다 발림성 부드럽게 발리는 로션제형입니다 제가 피부가 예민한 편이라 자극이 있는 제품을 쓰면 빨개지는데 제품은 자극이 없어서 좋았습니다 수분크림을 바르고 파운데이션이나 선크림을 사용해도 밀림이 없어서 좋았습니다 피부타입 속건조를 잡아주는 타입으로 수분이 부족한 분들에게 좋은 제품입니다 제품은 건성분들 지성분들 수부지 피부타입에 상관없이 쓸 수 있습니다 총평 제가 제품을 도대체 통을 썼는지 모르겠습니다 비싼 타사 제품을 사용하다가 제품을 사용했는데 손색이 없을 정도로 마음에 듭니다 속건조가 심했던 저는 제품을 쓰고 속건조가 없어졌습니다 불편한점은 통 모양으로 되어있어서 바를때 꼭 손을 씻고 바르시길 추천드립니다 튜브타입은 편합니다 결론적으로 저는 추천드립니다 후기가 도움이 되셨다면 도움이 되었음 한번만 부탁 드립니다 감사합니다,복합성에 좋아요,진정에 좋아요,자극없이 순해요
안녕하세요 항상 솔직한 리뷰만을 적기위해 노력하는 리뷰어 몽몽이이 입니다 오늘도 솔직한 리뷰 남기기위해 최선을 다해볼게요 피부는 복합성입니다 순한 화장품을 찾는 리뷰어입니다 1제품의 제형은 어떤가요 가벼운 제형인가요 꾸덕한 제형인가요 제품은 굉장히 가벼운 제형이라고 생각됩니다 아무래도 수분크림이다 보니까 전 무거운 제형이 싫더라구요 바르면 겉을 감싸주는것같은 느낌의 수분 크림이라고 생각하시면 될것같아요 2흡수가 잘되나요 이후 단계에 밀리지 않나요 개인적 생각이지만 흡수가 굉장히 잘된다고 생각합니다 얹는 느낌의 느낌을 주고 싶을때는 왕창바르고 올리시면 얹는 느낌을 줄수 있고 트러블 났을때 다음날 진정이 되는 수분크림입니다 저도 수분크림이 절 거쳐갔으나 잘맞는 수분크림 찾기가 어려웠는데 정착템되서 2년동안 수분크림만 찾게됩니다 이후에 밀림현상 없습니다 바르고 화장을 밀림 현상이 있을 수 있습니다 초의 시간이 지나면 흡수되기때문에 전 수분크림 후에 꼭 화장을 합니다 3수분감 산뜻감은 어땠나요 수분 크림 답게 수분 능력이 뛰어납니다 산뜻하구요 4 추천하나요 네 추천합니다 이미 친구들에게 영업을 해서 친구들도 극찬하면서 사용하는 제품입니다 친구에게 추천할 정도면 말 다했죠ㅋㅋㅋ 5 재구매 하실건가요 전 이미 2년동안 이용하고 있습니다 그만큼 만족하는 상품이며 누군가 집에 와서 수분크림 바르면 어디서 샀냐고 다들 물어보더라구요 그만큼 추천하는 상품이고 앞으로도 재구매할 예정입니다 저처럼 요즘 날씨에 건조함이 싫다라고 느껴지시는분들이 계신다면 수분크림 강추입니다 리뷰가 도움이 되셨다면 좋아요 한번씩 눌러주시고 가세요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
피부가 뒤집어지고 거칠고 스며들지 않아서 로션들이 세일기간이라 궁금했던 닥터지 사봄 사람들이 쓰는 이유를 알기 ㅡ궁굼하던차 ㅡ 리치하지 않음 패키지만 지금까지 크림인줄 수분가득 젤느낌에 가까움 민감한 내피부에도 그럭저럭 갠춘함 더 써봐여 알겠지만 부디 잘 맞길 닥터자ㄹㅌ 얼마전에 삿서 썼는데 쓸수록 겉돌아서 ㅠㅠ첨엔 괜찮은줄 알았더만 ㅠ 그리규 세일할때 용량 더 주니까 사면 좋은듯 은근 가격이 비쌈 할인 자주 해주면 좋겠어요 여행키트도 나오면 좋겟음 뭔 시계도 구성품에 있는데 안주고 가격을 더 내리는게 나을듯 시계버림 ㅍ,복합성에 좋아요,진정에 좋아요,보통이에요
모든 피부 타입 여름에 쓰기 좋은 가벼운 수분크림 산뜻하구 사용감이 가벼움 젤타입으로 된 수분크림들이 대부분 산뜻하고 사용감이 가벼운데용 제품이 그래용 흡수도 빠르고 산뜻하게 마무리되는 점은 좋았어용 여름에 쓰면 좋을 거 같구 남성분들 피부 답답한 느낌 싫어하시면 사용하기 좋으실 거 같아요 트러블이 발생할 수도 있음 닥터지하면 수분크림이라고 할 수 있을 정도로 유명하잖아용 아쉽게도 저한테는 맞지 않아서 세일때마다 친구 줄 목적으로만 구매해용 사용하자마자 피부가 간지럽고 트러블이 올라왔어용 피부가 민감하다면 매장 방문하셔서 테스트 필수 친구는 제품이 인생템이라구 하네용,복합성에 좋아요,보습에 좋아요,보통이에요
묽고 워터리한 수딩젤 타입 제형으로 산뜻하고 발림성이 굉장히 좋아서 피부에 빠르게 흡수되면서 수분을 채워주네요 부드럽게 펴 발리면서 밀리지않고 겉돌지않고 피부에 촥 밀착되는 것이 아주 좋아요 밀도감도 느껴지고 점성을 보면 젤리같은 느낌 마치 탱탱한 푸딩 같아요 흡수도 빠르고 향도 무향이고 꾸덕하거나 답답하지 않고 보습감 채워주기 좋고 마무리감이 좋아서 부담없이 사용하기 좋은 가벼운 수분크림이예요 부드러운 발림성에 촉촉해보이는 피부가 자극없이 매끄럽고 얇게 발랐을 수분감이 높아서 자연스러운 광이 나요 수분감이 좋아서 슬리핑팩으로 사용하고 나면 다음날 화장도 쫀쫀하게 잘먹어서 좋구요 탱탱꽉찬수분감 쫀득쫀득피부 닥터지레드블레미쉬,복합성에 좋아요,진정에 좋아요,자극없이 순해요
닥터지 수분크림은 제형도 가볍고 자극도 적어 여름에 사용하게 되더라구요 꾸덕거리지 않는 젤 형태라 가볍게 흡수됩니다 마스크 피부가 늘 민감해져있는 상태인데 피부 온도도 금방 내려줘요 지성 피부라 기름지지 않는 게 중요한데 여름에도 기름이 덜 올라와서 좋아요 타사 제품에 비해 트러블도 상대적으로 덜 생기는 같습니다 트러블이 올라올 조짐이 보일 같은 라인의 진정 팩을 사용하면 상태가 나아지더라구요 괜찮은 조합인 같아 꾸준히 사용 중이에요 개인적으로 시계 패키지가 실용적인 같아요 건전지에 무브먼트까지 들어 있어서 간단히 조립 후 사용 중입니다 한 부탁드리고 싶은 점이 있다면 단지형보다는 튜브형이 사용하기가 편해서 튜브형도 따로 판매하셨으면 좋겠다는 바람이에요 외에는 만족하면서 사용하고 있습니다,지성에 좋아요,진정에 좋아요,자극없이 순해요
아 하루 썼는데 볼 따갑고빨개지고 건조해짐 처음 바를 땐 아무생각 발랐는데 3시간 뒤에 볼 빨개지고 홍조 생기고 왜인지모르게 건조해짐 건조해지지 생각하고 더 바름 날 현재 건조해서 볼 쓰라리고 수분크림 안 바르고 오일만 30분 간격으로 바르는중임 예민한 피부도 아니고 건조한 사람인데 진짜 인기순 1위길래 사봤더니 나랑 안 맞음 볼이 빨개짐 아 다신 안 발라 볼도 따갑고 눈도 따가움,지성에 좋아요,주름/미백에 좋아요,자극이 느껴져요
30대 건성 리뷰 이거 촉촉하고 좋아요 엄마도 자극 없는 수분크림 찾으시길래 구매해드렸떠니 보습도 괜찮고 자극도 없고 순해서 좋아하시더라구요 할머니도 선물해드렸어요 촉촉한데 끈적이지도 않고 자극도 없고 좋다 하시더라구요 왠만한 닥터지 제품 순하고 좋은것 같아요 건성인데 여름에 사용하기에도 괜찮고 한 봄 정도에도 괜찮을 같아요 복합성이거나 지성이면 가을에도 좋을듯 그만큼 보습도 꽤 괜찮아요 묽은 제형인데 크림과 젤의 중간같은 제형이에요 향은 안나는 정도 참고로 군대 에서 파는 저렴한 닥터지는 성분 다르거 디파님이 다 얘기해주신거 아시죵ㅋㅋ,건성에 좋아요,보습에 좋아요,자극없이 순해요
수부지한테는 적합한 크림입니다 얼굴이 여드름이 심했었는데요 2년째쓰는데 얼굴이 엄청나게 나아졌습니다 기적인거죠 얼굴에 맞아서 행복했습니다 이렇개 긴시간동안 제가 많은노력을했는데 꼭 크림은 매일 발라주고 다녔습니다 다들 크림 사세요 ㅜ,건성에 좋아요,보습에 좋아요,자극없이 순해요
