불용어 제거 리뷰,피부타입,피부고민,자극도
바이오던스는 인생 마스크팩인거 같아요 3달 사용 후 리뷰 입니다 여드름 엄청심해서 피부과에서 케어도 받아보고 약도 먹어보고 피부 재생 시술도 받아봤는데요 일시적이었지 한번도 깨끗하게 없어졌다란 느낌을 받아본 적이 없었습니다 사진에서 보시더 싶이 저런 피부 상태에서 현재에는 피부에서 광난다는 소리를 들어면서 살고 있어요 팩 자주할때 이틀에 평소엔 삼일에 한번으로 해줬어요 한달째 쯤에 피부가 말끔해지더라고요 두달부터는 라로슈포제 밤을 바르고 붙였는데 광이 나더라고요 지금은 이주에 한번씩 있는데 피부가 좋아져서 팩은 콜라겐이지만 여드름 피부도 좋아진게 신기하네요 추가적으로 나이트 케어 귀찮아 하시는분들 크림 바르고 붙여주면 끝이에요 간편하죠,건성에 좋아요,보습에 좋아요,자극없이 순해요
부지런하게 만드는 팩이에요 시간이 지나면 투명해지는데 피부 컨디션 안좋을 때는 빨리 투명해져요 다음날 얼굴이 촉촉해서 화장도 잘 먹고 좋아요 가격만 저렴해지면 좋을것 같아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
이거 한 다음날에 ㄴ얼굴에서 속광이 올라와서 비싸긴해도 꼭 중요한일정있는전날엔 무조건 해주는편입니다 한번붙힐때마다 최소 1시간에서 2시간은 유지해주는편입니다,건성에 좋아요,보습에 좋아요,보통이에요
시트 자체가 쫀쫀하고 탱글해요 처음 마스크팩을 사용할땐 살살 만진다고 생각하고 만져도 손톱에 긁혀서 찢어졌었는데 안찢어지게 만지는 꿀팁은 손톱 손가락 지문쪽으로만 살살 만지면 찢어지지 않고 쉽게 붙일 수 있어요 콜라겐팩이지만 붙이면 시원해서 쿨링효과가 있고 홍조도 진정돼서 좋더라구요 붙이고 자도 돼서 간편하고 다음날 피부를 보면 광채가 촤르르 흘러 넘치더라구요 팩하나로 모공탄력보습을 다 잡을 수 있고 눈으로 효과가 다 보이기 비싸도 끊을래야 끊을 수 없는 팩이에요 꿀팁 눈이랑 입에서 나온 작은 마스크 조각 3개는 꼬옥 버리지 마시고 야무지게 주름이 더욱 신경 쓰이는 부위 팔자 눈가에 붙여서 뽕 뽑으시길 바래요,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
저번에 1매짜리 구매했을땐 굉장히 혹평했었는데요 알고보니 사용했던게 불량이었나봐요 1매 짜리 사용했을땐 얼굴에 밀착도 안되서 줄줄 흘러 내리고 좀만 건드려도 찢어졌었는데 이번에 구매한 7매 세트제품은 겔이 도톰한데도 밀착력 좋고 잘안찢어지네요 ㅎㅎ다행쓰 사용해본 결과 바던 팩은 기초 제품의 영향을 받는듯해요 최소 23시간 사용하는 제품이다보니 시트가 투명해졌을때 피부가 건조 할 수 있어서 기초는 듬뿍 올리시는게 좋구용 자신에게 맞는 기초제품을 사용하는게 중요한거 같았어요 자극적인 성분예를들면 아하바하같은 각질케어성분이 들어간 에센스는 피하시고 팩 전에는 진정 탄력 에센스 위주로 발라주세용 개인적으로 함량높은 미백성분은 발라도 운 안좋으면 뒤집어져서ㅠㅠ 저는 마데카소사이드 제품을 사용해줬답니다ㅎㅎ 중요한 날이나 얼굴에 열감이 심하게 올라올때 시트가 시원해서 사용하기 좋더라구요 정가로는 비싸구용 세일하거나 올영데이때 쿠폰 먹여서 구매하시는걸 추천드립니다,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
수면팩으로 사용할때가 좋은것같습니다 만족하면서 잘 사용하고있습니다 오랫동안 붙혀놓고 제거하면 얼굴에 속광이 잘올라와서 아주 좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
무난하고 좋은데 음 뭐랄까 개당 5000원정도잖아요 이제 딱히 1개당 5000원의 효과는 잘 모르겠는 느낌입니다 ㅎ,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
인기가 많은 제품이라 궁금해서 사봤는데 가격대비 타사 팩들보다 막 좋다는 느낌은 못 받았어요,복합성에 좋아요,진정에 좋아요,보통이에요
1매 써보고 대용량 구매해서 쓰고 있어요 제가 느낀 큰 장점은 아래와 같아요 1 수면팩으로 사용이 가능하다 2 붙이는 시간만큼 효과가 좋은 편이다 젤리처럼 말랑말랑한 텍스쳐라 손톱에 잘 찢어지니 꺼낼 주의하시고 작은 조각들은 코 옆쪽 뜨는 부분에 붙여주면 좋아요 저는 여유있는 날은 3시간 붙이고 바쁜 날은 아예 붙여두고 자는 편이에요 저는 오래 붙여둬도 괜찮더라구요 엄마랑 사용했었는데 엄마는 수면팩으로 사용하기 건조하다고 하셨어요 그날그날 피부상태나 타입에 사람마다 다를 수 있으니 참고만 해주세요 가격대가 있는편이라 구매할 땐 고민을 했었는데 즉각적으로 효과가 보이는 팩이라 다 쓰면 재구매할 같아요,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
온라인몰에서만 구매 가능했는데 매장에 입점했길래 올영세일 할인할 구매했어요 겔 마스크들에 비해 보습감이 탁월해요,건성에 좋아요,보습에 좋아요,보통이에요
