불용어 제거 리뷰,피부타입,피부고민,자극도
메디힐 마데카소사이드 에센셜 마스크 흔적 리페어 팩 제후기는 시간날때 심심할때 읽어 보시고 도움되세요 메디힐이 올리브영 생기기전 롭스 매장이 있던 오래전에 메디힐 마스크팩이 나왔어요 당시에 티트리 마스크팩 그외 여러가지 나왔는데 저렴하고 성분좋은 마스크팩을 출시한 중소기업으로 독보적이였어요 지금은 올영입점 안하는 온갖브래드에서 성분좋은 저렴한 팩들 많치만요 메디힐도 피이지 피피지 쉐어버터 향료등 빼고 점점 좋은성분들만 넣고 불필요한 성분 자극가는 성분 빼고 점점 반전한 브랜드랍니다 아마도 2009년ㅡ2010년 이때쯤 제기억에 메디힐 마스크가 롭스매장에서 불티나게 팔렸어요 당시 여드름 피부라 메디힐 티트리마스크팩 아침저녁으로 붙였던 기억이 나고 이제 성분보면 나이아신아마이드ㅡ미백성분 수분성분 보습성분 추출물 ㅡ독특한게 해수 들어있네요 판테놀 ㅡ다들 올영라이브에서 들어서 아시는분들은 아실듯한 피부장벽성분 들어있고 세라마이드엔피 1개들어있고 세라마이드 종류는 여러종 들어가야 좋아요 마데카소사이드 50들어 있네요 마데카소사이드 는 3종이상이 들어가야 좋은데 요부분이 아쉬워서 별하나 뺍니다 결론 ㅡ극민감피부 속건조한 지성피부 여드름피부 건성피부 모든피부 쓸수있는 평소 관리용으로 쓸 수분보충 진정 미백 함럄미기재로 알수없음마스크팩입니다 온갖성분 다 들어간 팩류도 많으나 하루는 미백 하루는 진정 하루는 주름탄력 모공 나누어서 마스크팩을 하셔야 피부는 더 좋아지고 다른성분들이 제기능을 할수 있어요 주름 탄력 모공 고민인분은 여러종류의 다양한 펩타이드류와 콜라겐아데노신 요4가지가 꼭 들어간 마스크팩 고르시면 됩니다 복잡하고 어려운 성분 쉽게 찾으시라고 글씁니다 도움되세요 매일 올영입점외 중소기업 수많은 마스크팩들이 신상들이 눈만뜨면 쏟아져 나오는 뷰티 전성기라 저도 수시로 성분보고 팩을 사는데 큰 냉장고 하나가 전체가 마스크팩을 보관해요 광고 이름 제품 브랜드 보지말고 성분과 함량만 고르시면 피부과 안가도 되요 10대때부터 마스크팩 꾸준히 하는걸 추천합니다,복합성에 좋아요,진정에 좋아요,자극없이 순해요
가을이 오면 어김없이 건조해지는 피부 이번에도 예외는 없었어요 콜라겐 영양 가득 채워줄 마스크팩을 찾다가 메디힐 콜라겐마스크팩을 써보게 됐어요 처음 사용했을 때 마스크팩을 얼굴에 올리자마자 시원하고 촉촉한 느낌이 들었어요 마스크팩 시트 자체가 얇아서 밀착감이 좋았고 에센스가 듬뿍 들어있어서 피부에 착 감기더라고요 특히 향이 은은해서 사용하는 기분까지 좋아졌어요 팩을 떼어낸 후 먼저 느낀 건 피부가 아주 촉촉하고 탱탱해졌다는 점이었어요 평소에는 팩을 나면 끈적임이 남는 경우가 많았는데 느낌이 없었고 에센스가 피부에 쏙 스며들어서 산뜻했어요 제가 사용하는 좋았던 건 붉은 기가 싹 가라앉는 거였어요 요즘 날씨가 갑자기 변해서 피부가 예민해지고 있었는데 마스크팩을 나니 붉어진 부분이 금방 진정되더라고요 한 번만 써도 확실한 진정 효과가 있어서 급할 쓰기 좋았어요 가을철 피부는 건조해지기 쉽잖아요 마스크팩은 사용 후에도 오랫동안 촉촉함이 유지돼서 좋았어요 수분감이 피부 속까지 꽉 채워진 느낌이라 날 아침에 세안할 때도 피부가 땅기지 않고 부드러웠어요 마무리로 가을철 건조하고 탄력이 떨어진 피부를 위한 최적의 마스크팩으로 추천드리고 싶어요 저한텐 가을 겨울 필수템으로 자리 잡았어요,건성에 좋아요,진정에 좋아요,자극없이 순해요
저는 피부가 예민해서 뭘 써도 금방 뒤집어지거나 건조해서 푸석푸석해지는데요 이번에 친구 추천으로 메디힐 마스크팩을 써봤어요 처음엔 망설였지만 사용 후 만족스러워서 이제는 꾸준히 쓰고 있답니다 우선 마스크팩을 뜯어서 꺼냈을 시트가 아주 얇고 부드러워서 피부에 밀착되는 느낌이 좋았어요 얼굴에 올렸을 에센스가 가득 묻어있어서 20분 넘게 붙이고 있어도 시트가 마르지 않더라고요 오랜 촉촉함을 유지할 수 있어서 마음에 들었어요 팩을 떼어내고 나서 피부를 만졌을 때 촉촉함과 진정 효과가 느껴졌어요 피부가 붉어졌던 부분이 눈에 띄게 가라앉았고 자극 부드러워졌어요 건조함도 확 사라지고 보습이 꽉 채워진 느낌이었어요 메디힐 마데카소사이드 성분이 진정에 효과적이라고 하더니 저한테 딱이었어요 아침에 일어나서 세안을 할 때도 피부가 촉촉하고 매끄러워서 기분 좋았어요 보통 마스크팩을 해도 아침에 건조해지기 마련인데 다르더라고요 피부 장벽이 강화된 느낌이랄까요 피부가 매끈하고 윤기가 돌아서 하루 종일 화장이 잘 먹더라고요 저처럼 예민하고 건조한 피부를 가지신 분들께 강력 추천해요 자극 피부를 촉촉하고 탄탄하게 만들어주니 매일 쓰고 싶은 마스크팩이에요,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
메디힐 제품 제가 너무너무 좋아해요 기초라인도 다 메디힐이고요 마스크팩도 메디힐입니다 메디힐을 좋아할수 없는 이유가 성분도 좋고 무엇보다 피부가 편안해지는 느낌이 들어요 히알루론산 마스크팩을 이번에 구매해봤는데 이거 너무너무 좋아요 요즘 운동 열심히 있는데 얼굴이 후끈후끈거리더라구요 이거 냉장고에 여러개 넣어놓고 샤워하자마자 붙이고 있으면 힐링이 되더라구요 얼굴 붉어진것도 빨리 가라앉아지고 안색이 밝아집니당 거기에 수분은 속에서부터 꽈악 채워주는지 하고나면 얼굴이 아주 촉촉해져요 피부가 맞나 싶을 정도로 피부가 탱탱 촉촉해지는데 라인 마스크팩만 사용했었는데 수분라인도 추가해서 사용해봐야겠더라구요 히히 마스크팩 하고나서는 다음날 아침 피부상태 겪어봐야해요 빤질빤질 빛이 나는데 개기름 아니구요 속에서부터 차올라서 속광이 올라와요 피부가 이뻐보이기 힘든데 요거한날은 그리 느껴져요 1일1팩은 저한텐 무리고 일주일에 2번정도가 딱이더라구요 더 꾸준히 사용해서 열심히 가꿔봐야겠어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
메디힐 팩은 늘 구매하는 마스크 팩이예요 종류를 사도 다 좋아서 늘 마음에 들어요 최근에 쓰던 것은 티트리 팩이였는데 요새 나이가 들었는지 피부의 노화가 보이고 쳐짐이 보여 콜라겐 팩으로 구매해 보았습니다 메디힐 에센셜 마스크팩 콜라겐은 피부 탄력을 높이고 보습을 제공하는 제품 생각되요 노화가 걱정되는 피부에 사용하면 좋을 같아요 제가 메디힐 마스크팩을 좋아하는 건 것들은 써보면 마스크팩이 거친데 메디힐 마스크팩은 부드럽고 밀착력이 뛰어나 얼굴에 잘 붙어서 붙이고 집안을도 할 수 있어요 마스크팩이 장점은 보이는 변화 같아요 떼자 마자 수분이 차오르고 피부톤의 변화가 보이니까 끊을 수가 없어요 중요한 날 일주일 앞두고는 매일 메디힐 마스크팩을 하곤 해요 사용 후 보니 콜라겐 성분이 들어가 있어서 그런지 요새 신경 쓰였던 눈가 잔주름들이 조금씩 옅어진 느낌이 들어서 만족 스러워요 향도 진하지 않고 수분감은 워낙 알아주는 편이라 늘 살때마다 만족합니다 퀄리티에 저렴한 가격 메디힐 버리고 마스크팩 알아볼 이유가 없어요,지성에 좋아요,주름/미백에 좋아요,자극없이 순해요
13년 연속 마스크팩 1위 메디힐 믿고 쓰는 메디힐 마스크팩하면 메디힐 마스크팩 사면 무조건 메디힐꺼로만 사요 꾸준히 메디힐 제품 사용 중인데 피부에 아주 찰떡이에요 요즘은 흔적 고민이 많아서 흔적케어 위주 마스크팩을 사용 중이고요 날씨가 날씨인만큼 추워지는 가을 겨울에는 보습과 수분에 좀더 포커스를 두고 싶어서 수분이 주력인 히알루론산 마스크팩을 사봤어요 저는 뜨거운물 샤워를 포기를 못해서 몸을 뜨듯하게 지지면서 샤워를 하다보니깐 두피 얼굴에 열이 화악 오르더라구요 샤워전에 마스크팩을 냉장고에 넣어두고 샤워 끝나자마자 냉장고에서 마스크팩을 꺼낸다음에 올려줘요 얼굴 온도는 싸악 내려가고 수분을 그대로 쏘옥 흡수되고 아주 좋아요 되도록 얼굴에 열이 안 올라가게 샤워해주는게 좋은데 추위는 참을 수 없더라구요ㅠㅠ 일주일에 23번 팩해주는데 팩 쓴날에는 아주 화장이 촥촥 잘 먹어서 팩 애정합니다 수분 지속력이 장난이 다니더라구요 이러니 메디힐을 살 수 없지유 가을 겨울에도 잘 부탁해요 메디힐,건성에 좋아요,보습에 좋아요,자극없이 순해요
수분이 부족한 지성피부입니다 피부에 늘 수분이 부족해서 고민인데 요즘같은 환절기엔 건조함이 더 심해져서 메디힐 히알루론산 워터마이드 에센셜 마스크를 구매해 보았습니다 요즘 바쁘다는 핑계로 피부 관리에 소홀해서 피부가 엉망이고 예민했는데 히알루론산 워터마이드 에센셜 마스크를 써보니 트러블 피부에 보습 충전이 되는게 느껴집니다 민감성 피부 자극 테스트를 완료하고 72시간 수분 홀딩 효과와 속보습 개선 효과를 인체적용 시험완료한 제품이라 촉촉해진 피부를 오래도록 경험할 수 있습니다 6중 히알루론산이 피부 사이사이를 수분 알갱이로 채워주고 판테놀이 수분 유지와 손실 방지를 도와줍니다 피부의 겉과 속에 수분이 충전되고 유지되니 사용한 다음날 피부가 생기있어 보이고 맑아 보여 만족스럽습니다,지성에 좋아요,보습에 좋아요,자극없이 순해요
메디힐 마스크팩 좋다고 해서 한 번 더 써본 적 없는 콜라겐으로 골라보았습니다 사용해보니 팩 한장에 원액 자체가 들어 있었습니다 와이프가 좋다고 얼굴에 팩을 남는 원액을 손에도 바르고 몸에도 바르고 그러더라고요 콜라겐 팩은 미세한 저분자 콜라겐으로 속까지 탄탄하게 채워주고 주름 개선 기능성으로 탱탱한 피부 관리를 해준다고 합니다 왠지 벌써 피부가 탄탄해진 느낌입니다 콜라겐 마스크팩 더 써봐야겠습니다 보습력도 좋은 같네요 하루 종일 당기는 거 편하게 돌아다닌 같습니다,복합성에 좋아요,보습에 좋아요,자극없이 순해요
날씨가 추워지면서 속건조가 심하게 느껴지더라구요 예전에 마스크팩을 사용했을때 건조함이 잡힌게 생각이나서 재구매를 메디힐 마데카소사이드 에센셜 마스크팩은 민감한 피부나 트러블로 고민하는 분들에게 추천할 만한 제품입니다 피부 진정 보습 회복력에 탁월한 효과가 있어 피부가 예민할 사용하는 데 효과적이에요 사용 후 피부가 확실히 편안해지고 촉촉해지면서도 자극이 없어 만족스러웠습니다 마스크 시트는 아주 얇고 촘촘해 피부에 밀착력이 뛰어났어요 얼굴에 맞게 붙어서 사용 중에도 불편함이 없었어요 또 에센스가 흘러내리거나 불편하지 않아서 착용하고 있으면 편안합니다 마스크팩을 있는 동안에도 얼굴에 붙어 있어서 일상적인 활동도 큰 문제 할 수 있었어요 아주 만족스러운 마스크팩이예요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
기분도 안좋아서 마스크좀 할랬더니 아니 마스크를 주문했는데 에어마스크가 오네요 이것도 당첨이되어야 안에 마스크가 들어있나요,건성에 좋아요,보습에 좋아요,자극없이 순해요
