불용어 제거 리뷰,피부타입,피부고민,자극도
아빠가 좋아하는 제품입니다 햇빛이 드는 곳에서 일하다보니 날이 가면 갈수록 자꾸만 피부가 타서 오더라구요 어느날 이거 보더니 싶다고 해서 하라고 했는데 피부 맑아졌다면서 다음날에 다음에도 한다고 하더라구요 좋아해서 저한테서 사갔어요 아빠가 하고나서 얼굴보니까 하얘진게 눈에 보였어요 피부가 맑아진게 제품이랑 비교도 안될정도로 짱짱합니다 디테일하게 적어볼게요 1재구매한 이유 위에서도 언급했지만 아빠가 좋아해서 사달라고 해서 샀습니다 2사용 후 추가단계 가볍게 크림정도 올려두시면 됩니당 3자극 자극 없어요 걱정 안하셔도 됩니다 4언제 사용 주로 저녁에 사용합니다 아침에 사용해도 되지만 자외선을 아침에 사용했을 경우 꼭 선크림을 발라주셔야 합니다 넘버즈인이 고객의 소리를 놓치지 않는 센스 제가 5번 라인을 너무나 좋아해서 넘버즈인 인스타에 들어가서 디엠으로 넘버즈인 5번 라인 토너도 만들어주세요라고 했더니 설마설마 확인해줄거란 기대도 안했는데 그날 답장으로 개발팀에 전해주신다고 연락이 온 거 감동받았습니다 넘버즈인 고객의 소리 하나하나 놓치지 않는 모습보고 감동받았어요 잘하는 브랜드 어디가서 꼭 말하고 싶었는데 리뷰만으로도 남겨봅니다 도움이 되셨다면 도움이 돼요 눌러주세요,지성에 좋아요,주름/미백에 좋아요,자극없이 순해요
넘버즈인 1번 수분흠뻑 스파광 삼림욕팩을 꾸준히사용하면 피부의 탄력감과 수분감에 많은 도움을 받는것 같아요 저는 세안후 스킨으로 얼굴을 정돈한 얇은 시트지로 되어있는 넘버즈인 삼림욕팩울 일주일에 두세번정도 사용하고 있어요 넘버즈인 1번 수분흠뻑 스파광 삼림욕팩은 편백수와 어성초 추출물이 낮시간동안 자외선에 노출되어 자극 받았던 피부를 케어해주고 편백숲의 은은한 피톤치드 향까지 느낄수 있게 해주어 아주 만족한 홈케어를 해주는 마스크팩이랍니다 얼굴에 잘밀착되어 수분진정에도 많은 도움이되었어요 찜통같은 더위에 낮시간동안 자외선도 심해 피부가 걱정이 되었고 얼굴이 금새 건조해져서 자주 넘버즈인 1번 스파광삼림욕팩을 있어요 넘버즈인 1번 수분흠뻑 스파광 삼림욕팩은 팩을 한다음에얼굴을 보면 윤기와 광이나지만 처음 팩을 했을때는 미끈미끈하고 끈적끈적함이 있어 처음에는 놀랄수 있어요 금새 피부에 스며들어서 잘 밀착되어 맘에 들었답니다 에센스한병을 다 쏟아부은것 같은 넘버즈인 스파광 삼림욕팩은 편백수가 81 담겨져있고 수분감과 보습감이 뛰어난 제품이며 피부에 진정한 수분양을 잘 흡수시켜엄청난 보습력을 선사해주는 마스크팩이랍니다 추천하고 싶은 제품입니다 도움이 되셨다면 버튼 꾸욱 부탁드리겠습니다,복합성에 좋아요,보습에 좋아요,자극없이 순해요
전성분 상 10000 초과하는 원료는 함량 순으로 표기해야함 글루타치온 리포좀이 50000인데 전성분 앞쪽에 없다는 것은 글루타치온이 50000은 아니라는 뜻 글루타치온 50000은 어차피 냄새 역해서 사용할 수도 없음 보통 리포좀 만들 때에는 수많은 원료들이 사용되기 사실 중요한 건 글루타치온 함량인데 표기가 안되어있어서 아쉽긴 함 넘버즈인 제품들이 겔팩도 아니고 시트팩인데 중량이 27 될 정도로 에센스 듬뿍 들어있는 제품이라 돈이 아깝진 않아서 좋았음,건성에 좋아요,보습에 좋아요,보통이에요
세일을 하길래 구매해봤어요 시트가 노란색이더라구요 비타민 파우더를 뿌려 노란빛을 띠는 시트라네요 얇아서 밀착력이 좋구 에센스가 아주 들어있어서 15분동안 붙여놓아도 마스크팩이 마르지 않고 촉촉해요 꾸준히 사용하면 피부톤이 밝아질것 같아요 에센스 제형이 투명하고 점성이 있지만 유분이나 끈적임이 남지않아서 좋네요 마무리감이 산뜻한 편이라서 자주 사용할것 같아요 따갑거나 간지럽지 않고 트러블도 안생겨서 세일할때 쟁여놓아야겠어요 고기능 미백 마스크팩이라고 하던데 피부톤이 아주 정돈된것 같아요 넘버즈인은 기초부터 마스크팩까지 다 제품이 좋은듯 싶네요 피부가 건조하고 칙칙해진 분들에게 추천드리는 팩이예요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
마스크팩 시트 색이 특이해용 밀착력도 좋고 자극이 없어서 좋았어요 꾸준히 쓰고 싶은데 가격이 넘 사악하네용 세일할때 개 쟁여야겠숩니당,건성에 좋아요,보습에 좋아요,자극없이 순해요
넘버즈인 글루타치온 필름팩 한달 사용 리뷰입니다 넘버즈인 신상은 출시될 때마다 구매해서 사용해보게 되는 같아요 초창기엔 발효 성분에 후기들에 지레 겁 먹고 살짝 거리두기 했었는데 이제는 찐팬 저리가라 하며 다양하게 섭렵 중입니다 중간 지지대 필름이 없는 시트 단독 마스크라서 마음에 들었고 특별히 거슬리는 향도 없었어요 오렌지 빛 시트 컬러가 인상적인 제품이었습니당 마무리감도 끈적이거나 하지 않는데 시트를 떼어내고 난 뒤에 살짝 에센스가 남아있어서 뷰티 디바이스로 에센스까지 흡수시켜주니 좋더라구요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
넘버즈인 5번 비타민 뿌려만든 글루타치온팩 후기 평소 넘버즈인 글루타치온 라인인 5번 앰플이랑 5번 패드로 스킨케어 하고있는데 같은 라인 마스크팩도 출시됐더라구요 그렇게 냉큼 사서 써본 후기 5번 라인 사용할때 피부톤이랑 안색이 밝아져서 요즘 꾸준히 사용하고있는 기초템인데 상세페이지에 마스크팩 미백 임상실험 결과까지 눈에 띄게 하얘지는거 보구 나온거보고 질렀습니다 꺼내자마자 샛노란 시트에 1차 놀람 인공색소 하나없이 비타민 파우더로 노란 시트라는 사실에 2차 놀람 미백을 위한 마스크팩 아닌가용 에센스가 영양감있는 투명한 액체이라서 끈적이지 않아고 자극감도 없어서 좋았어요 에센스 양도 넉넉 건조한 환절기에 사용하기에도 좋았던게 다음날 피부가 쫀쫀하니 아쥬화장을 잘 먹더라구요 저는 사용감까지 좋아서 꾸준히 사용해보려구 합니당 한달 사용후기로 돌아와볼게요,건성에 좋아요,보습에 좋아요,자극없이 순해요
넘버즈인 마스크팩 신상이 나왔길래 궁금해서 사봤어요 넘버즈인 글루타치온 라인이 유명하잖아요ㅎㅎ 시트가 샛노란 색이라서 처음에 놀랐어요ㅋㅋ에센스는 투명해요 시트는 살짝 도톰한 편이고 에센스가 넉넉히 들어있어서 금방 마르지 않아서 좋아요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
효과로 엄청난 효과는 모르겎지만 나쁘지 않은것 같아요 재구매 의사는 글세정도,복합성에 좋아요,진정에 좋아요,보통이에요
넘버즈인 5번 글루타치온 필름팩 구매했습니다 넘버즈인에서 새로 출시한 마스크 팩이라 궁금해서 구매 해보게 된 글루타치온 버전 시트 팩이에요 버전의 시트 팩들도 종종 사용하는 게 있어서 그런지 은근 넘버즈인에서 출시 된 신상들은 꼭 한 번씩 구매하고 도전해보는 같아요ㅋㅋㅋ 얼음장 팩의 원물 박힌 시트가 이색적인 것에 이어 글루타치온 팩은 비타민를 한껏 표현하는 것처럼 시트 컬러가 오렌지 컬러로 강렬하더라구요 특별히 강한 향은 나지 않아 사용하는데에 불편함이 없었습니다 시트를 제거한 후 남은 에센스를 톡톡 두드려 도포해주는데 아주 살짝 오일감이 느껴졌어요 심하지 않은 정도라 말끔한 마무리감을 선호하는 저도 무난하게 괜찮았습니다 마침 트러블 흔적들 안색이 전체적으로 칙칙했는데 기분 전환 삼아 잘 고른 같아요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
