불용어 제거 리뷰,키워드,제품명,피부타입,기능
피부는 수부지여드름성입니다 점 참고해주세요전에 구매했을땐 효과를 보지못해 재구매해본 상품입니다 땐 얼굴에 여드름이 심했어서 효과를 보지 못했던거같아요 지금은 색소침착만 남아있어서 사용해봤어요 효과를 본 같아요 진한 색소침착은 효과를 보진못했는데 옅은 색소침착들은 효과를 봤어요 전보다 색이 더 옅어졌어요 진정도 되는거같아서 진정색소침착에 도움이 되는거같아요 매일 팩토로 사용 중입니다 1번 사진이 사용 전이고 2번 사진이 사용 훕니다 저도 보니까 차이가 꽤 크게 느껴지네요 도움이 되셨다면 좋아요 부탁드려요 다음에도 리뷰 남기겠습니다,"피부는, 수부지여드름성입니다",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
후기 남기겠다는 사람입니다 지난 후기 쓴지 한달이 넘은거같은데 그때보다 더 깔끔해진거같아요 작고 옅은 색소침착들은 거의없고 진한 것들만 남아있어요 이정도는 화장하면 가려져서 좋아요우ㅠㅠㅠ 재재재구매입니다 다쓰면 재구매 할 예정이라 중간중간 후기 남길게요 1번사진은 처음 2번 사진은 사용 첫 후기 3번 사진은 최근입니다,"후기, 남기겠다는",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
대체 블라인드 처리 된거죠 제가 이거 쓰고 피부 엎어져서 안좋다고 했더니 리뷰가 블라인드 처리됬어여,"대체, 블라인드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
유튜버가 화잘먹 패드로 광고 엄청하던데 1도 효과 없어요 돈을 처먹었는지 이게 화잘먹 패드라니 화장 다뜨고요 민감할때 진정용으로 좋습니다 유튜버들 말 듣지 마세요저도 속아서 쓴게 한트럭입니다 다 구라에요,"유튜버가, 화잘먹",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
처음엔 최애 토너패드가 될 줄 몰랐습니다 만족스러워서 구매 당시 11으로 구매해서 이거 다 쓰면 재구매 할 예정입니다 한 면은 매끈하고 한 면은 약간은 각질 제거용으로 된 면인데 각질제거면이라고 해서 까끌하지 않아서 자극적이지 않게 사용이 가능합니다 흔적 패드라곤 흔적을 지워주진 못했습니다 촉촉해서 건성인 저에겐 좋았구요 패드의 피부 흡착력 좋아서 만족했습니다 단점이 없는 패드입니다,"처음엔, 최애",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
메디힐에 티트리 더 애정하는 마데카소사이드 흔적에 많은 도움을 주는지는 잘 모르겠지만 느낌상 안쓰는 거 좋겠지 하니 좋아진거 같기도ㅎ 이거 재구매라 4통째 사용중인데 집게좀 바꿔주세요 집게가 큰건 좋은데 긁기만 잡아 주질 않네요 ㅎ 보잘 없는 리뷰가 조금이라도 도움이 되셨다면 하단에 도움이돼요 부탁드리옵니다,"메디힐에, 티트리",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
구라 안까고 붙인 안붙인 경계인데 피부색 차이보세요,"구라, 안까고",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
메디힐 패드 더블증정기획이라 넘좋구요 수분감 가득가득햐요 세수후 볼 2개 이마1개 붙여놓는데 잘 붙어있고 촉촉하니 좋아요 ㅎㅎ 단점은 꽉 닫아도 케이스 뚜껑이 다음날 사용하려고 보면 조금씩 열려있어요 ㅠ,"메디힐, 패드",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
아묻따 걍 수부지면 사십쇼 랭킹에 올라와있는 다 그짓말쟁이 시간지나면 올라오는 개기름들 안올라오고 내 피부 밸런스 완벽하게 맞춰 자극도 없어 진정효과도 있어 건조하지도 않아저 환절기에 버짐이랑 피부갈라짐 개심해지는 사람임 완벽해 좁쌀여드름도 없어졌숩니다 행님들 세일에 함 도전해보십쇼 세럼도 쓰면 더더육 좋숩니더 가짜 수분제품들이릉 달라요 개기름 노노 내 피부 유수분밸런스 완벽케어 메디힐 이거 단종시키면 입사해서 부활시킬거야,"아묻따, 수부지면",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
22호 수부지 민감성 피부 뒤집어져서 진정될때쯤에 진정 세럼이랑 썼습니다 자극은 살짝 있었고 아침에 데일리 팩으로 부지런히 썼어요 효과는 좋은 거 같습니다 한 번 고민중이신 분들은 세일할때 시험삼아 사서 써보세요 제꺼 뺏어간 언니들이랑 엄마는 그렇다고 합니다 언니들은 아침마다 한 바가지씩 얼굴에 붙여놓고 저처럼 팩으로 썼는데 지성인 큰언니는 여름에 무겁다고 하더라구요 저는 수분이 부족한 수부지라 밤에 크림도 바르고 자는 피부에는 괜찮아요,"22호, 수부지",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
패드가 되게 얇아서 수분감을 가득 머금고있지 않아 가볍게 사용하기 좋아요,"패드가, 되게",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
아 유명한지 알겠다 한달동안 아침에 꾸준히 23장씩 사용해서 한통 다 비워가는데 쫀쫀한 수분막이 형성되면서 화장도 잘먹고 결케어에 엄청난 효과를 봤어요 진자 피부 부들부들해서 미치겠음 토너패드 이거저거 쓰는거 좋아하는데 얘는 못끊겠어요,"유명한지, 알겠다",메디힐 마데카소사이드 흔적패드,"민감성, 지성, 복합성","흔적, 수분, 진정"
