불용어 제거 리뷰,피부타입,피부고민,자극도
왕귀여움 왕좋음 냄새도 좋름 가성비도 좋음 꼬옥 사야하는 제품,지성에 좋아요,주름/미백에 좋아요,자극이 느껴져요
1 향이 좋아요 개인적으로 상큼한 향이 좋았어요 2 피부가 쫀쫀해요바르고 나면 쫀쫀하게 스며들어요 3 묽은 제형이지만 흘러내리지 않아서 좋았어요 1 가격이 넘 비싸요세일할 안 사용 2 잡티가 사라지는지 의문이에요꾸준히 썼는데 드라마틱한 큰 효과는 없었어용 3 사바사로 친구는 제품을 쓰고 피부가 뒤집어졌습니다 테스트 하시고 구매하세요예민하신 분들 주의 4 미백효과가 있다고 하는데 없어요,복합성에 좋아요,주름/미백에 좋아요,보통이에요
비타민 가 풍부해 피부의 잡티와 톤을 개선하는 데 효과적입니다,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
상큼한 구달 콜라보 워낙 잘 썼던 제품이라 샀습니다,지성에 좋아요,주름/미백에 좋아요,자극없이 순해요
파우치 귀여워서 샀는데 음잘 모르겠어요 이거 때문인지는 몰라도 쓴 뒤에 트러블이 올라와서세럼 때문이 아닐수도 있지만 쓰기가 꺼려지네요ㅠ 저랑은 잘 안맞는 같아서 아쉬워요ㅠㅠ,복합성에 좋아요,주름/미백에 좋아요,보통이에요
산뜻한 제형으로 흡수가 빠르고 잡티 개선에도 효과적이에요 리필 포함이라 가성비가 뛰어납니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
피부가 예민해서 비타민 제품 잘 못 쓰는데 유일하게 꾸준히 쓰고 있어요 매일 쓰면 잘 모르는데 다른거 쓰다가 오랜만에 쓰면 효과가 확실히 보이는 제품이라 늘 화장대에 있네요,지성에 좋아요,주름/미백에 좋아요,자극없이 순해요
수분감있게 투명하고 산뜻하게 발림 여름철에 쓰기 좋음 끈적임도 전혀없고 향도 없어서 휘뚜루마뚜루 바르기 가넝 귀여운 여행용샘플까지 항상 애용하고 재구매하는 중,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
제품 샀을때 성분 걱정 했는데 다행히 트러블은 안나더라구요 한달간 사용해봤는데 큰 효과는 못 봤습니다 가볍게 사용하기 좋은 라이트한 텍스처에 촉촉하게 흡수돼서 봄 겨울 다 사용하기 좋은데 저는 건성이라 아무래도 쌀쌀해지는 계절에 요거 하나만 바르기엔 살짝 건조하더라구요 수분세럼 필수 비타민세럼 대부분 다 써봤는데 넘버인 5번이 잘 맞았고 잡티케어보다 얼굴 톤 개선 미백 요쪽으로 찾으시는거라면 좋아하시면 이니스리 제품 추천드릴게요,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
먼작귀 콜라보 패키지 귀여워요 구달 비타 세럼은 가을겨울쯤에 사용해주기 좋아요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
막이 씌어진 느낌이긴 합니다 끈적하구요 특히나 엄마가 좋아하세요 얼굴톤이 밝아지신듯요,복합성에 좋아요,진정에 좋아요,보통이에요
선착순쿠폰 당첨되서 오늘드림으로 빠르게 받앗습니다 구달잡티세럼 말모말모 요즘 애껴서 조금씩 잘 사용중이에요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
먼작귀 콜라보가 귀여워서 남았는데 더 구매해서 미리 쟁여놨어요 먼작귀도 귀엽고 대용량도 좋네요 기능성 에센스라기보다 저는 보습 에센스로 데일리로 매일 사용합니다 수부지 피부인데 피부 속이 쫀쫀해지는 느낌이라 촉촉해서 손이 자주 가요 쫀쫀한데 끈적이지 않아서 사용감이 좋아요,지성에 좋아요,보습에 좋아요,자극없이 순해요
만작귀 파우치라니진짜 귀엽고 깜찍하고 사실 세럼보다 파우치가 귀여워서 샀어욤,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
솔직히 큰 효과가 있는지는 모르겠으나 콜라보가 귀엽고 제품은 무난해요,지성에 좋아요,주름/미백에 좋아요,보통이에요
아직써보기전이라 리뷰가 좋아서 구매했어요 좋았으면 좋겠어요,지성에 좋아요,주름/미백에 좋아요,보통이에요
항상 구매해요 재고 떨어지지 않게 미리 미리 구입합니다 패키지도 귀여워요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
매장에서 딸 잡티 구매해서 살짝 써봤는대 넘좋은거있죠 세일에 제꺼 대용량으로 구매오늘 드림으로 30분만에 대용량이네요 세일 자주했으면 좋겠어요크림이 품절이라 아쉽네요,건성에 좋아요,주름/미백에 좋아요,자극없이 순해요
두통째 비우고있는데 좋습니다 바르면 점점 하얘져서 좋습니다,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
2주잡티세럼 구달 자주 사용해요 잡티없어지는거는 모르겠고 더 안생기게 사용해요 파우치 귀여워요,복합성에 좋아요,진정에 좋아요,보통이에요
좋네요 뭔가 내 피부가 괜찮아 지고 있는 같아요ㅎㅎ,복합성에 좋아요,주름/미백에 좋아요,보통이에요
친구 생일선물로 줬는데 아직두 잘 쓰고 있다고 하네용 워낙 유명한 제품이다 보니 세일할 쟁여두면 좋을 같아유,건성에 좋아요,보습에 좋아요,자극없이 순해요
구달에서 파우치를 사면 세럼을 증정아님으로 준다길래 구매했습니다ㅎㅎ 왜냐면 현지 가도 파우치 사려면 이정도 돈은 줘야하기 때문이져 파우치는 가르마하치와레가 나왔습니다 자수 실 색이나 퀄리티가 저렴한 느낌이라 쬐끔 아쉽지만 귀여워요 제가 구매했던 당시 가격은 26900원이었고 올영세일 선착순쿠폰으로 아이패치 제품까지 구매해서 3000원 할인도 받았어요 세럼 써봤는데 마시는 곤약젤리같이 몽글몽글한 제형이더라구요 크림이랑 섞어쓰니까 넘 향긋하고 좋았어요,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
세럼 유명해서 사봤는데 명성이 자자한 이유가 있네요 젤같은 제형인데 묽지 않고 흡수 쫀쫀히 잘 돼요 워낙 흡수가 잘 되는 편이라서 효과도 괜찮게 나오는 같아요 한 유의하셔야할 점은 비타민가 들어있으니 냉장보관을 추천드리고 나이트케어 도포하시는게 좋습니다 데이케어 바르게 되시면 꼼꼼한 선케어는 필수입니다,복합성에 좋아요,주름/미백에 좋아요,자극없이 순해요
