불용어 제거 리뷰,피부타입,피부고민,자극도
피부가 건조한 편인데 가을부터 예민해질 정도로 건조한 편이라 보습에 신경을 쓰려고 합니다 일년넘게 꾸준히 쓰고 있는 제품인데 흡수가 빠르고 위에 크림 두껍게 발라도 밀리지 않아서 좋아요 기본 수분충전 세럼찾는분들께 추천하고싶어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
건성에 좋은 수분세럼이예요 이거 없음 안됨ㅜ 여름에도 겨울에도 꼭 챙겨바릅니당,건성에 좋아요,보습에 좋아요,자극없이 순해요
무난하게 여러통 비우고 있는 세럼이에요 블프라 세일 하길래 쟁여두려고 샀어요,복합성에 좋아요,진정에 좋아요,자극없이 순해요
당신이 피부든 구매 추천드립니다 주위에 있는 민감성 복합성 지성 수부지 악건성까지 모두에게 추천했을때 합격을 준 세럼입니다 수분세럼중에 젤 좋은거 같아요 추천도 보는 사람마다 다해줬고 저는 몇년째 이것만 쓰고 있어요 공병 비워서 모으다가 넘 많아서 버렸어요ㅠㅠㅠ 좋아요 가볍고 흡수 빠르고 속건조까지 잘 잡아줘요,복합성에 좋아요,보습에 좋아요,보통이에요
수부지 피부라서 수분을 보충해줄 용도로 세럼을 구매했습니다 끈적이지 않고 촉촉해서 속건조를 잘 잡아줍니다 무향이어서 좋아요 웰라쥬 앰플도 가지고 있어서 비교해봤는데요 토리든 세럼이 웰라쥬 앰플보다 농도가 되직해요 그런지 웰라쥬 앰플은 가벼운 느낌인 반면에 토리든 세럼은 더 수분감이 느껴져요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
제가 1년동안 잘쓴 제품 잘 사용하는 기초 중에서도 많이써서 텅비어있네요 순하게 속보습을 꽉 체울수 있어 좋았어요 비슷한 제품인 웰랑 비교했을때 토리든 촉촉 쫀쫀하게 마무리 웰 물처럼 주르르 흐르는 제형으로 더 가볍게 흡수됨 건성인 전 토리든이 사용감도 보습감도 만족스러워서 재구매했어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
제가 모공이 부각되어 보이는 지성피부인데 요새 화장이 뜨고 모공이 뚜렷히 보이고 걱정이었는데 유튜브 보다가 크림보다는 기초 스킨케어를 탄탄히 하는게 중요하다는 걸 알고 이중 토너 사용할 세럼 구매햇습니다 토리든 히알루론산 세럼은 이전에도 스킨 대신으로 서용하던 제품입니다 딱히 일어나지도 않고 순한성분인 섯 같아 사용했는데 세럼 구매하려고 하니 세럼밖에 생각이 나질 않아 구매했습니다 수분감도 있고 순해서 지성분들이 쓰시기에 부담이 없을 같아요 제가 전에 쓰던 것처럼 토너대신으로도 화장을 기초를 탄탄히 하자는 마음으로 토너 사용하셔됴 좋을 같네요,지성에 좋아요,보습에 좋아요,자극없이 순해요
올리브영에서 인기있는 제품은 다 이유가 있다는 걸 다시한번 느꼈어요 순하고 가볍게 사용할 수 있어 좋았어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
피부가 쓰기 괜찮은 무난한 수분 세럼이에요 벌써 재구매 몇번째인지 기억이 안나네요 이거 바르면 피부가 좋은 것처럼 탱글탱글 광이 나서 화장 전에 바르면 좋아요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
토리든 믿고 씁니다 좋아요 쟁여서 쓰는데 이번에 기획세트 좋아서 샀어여,건성에 좋아요,보습에 좋아요,자극없이 순해요
구매하고 있는 제품입니다 ㅎㅎ다른 분들에게도 강력 추천드리고 싶습니다,복합성에 좋아요,진정에 좋아요,자극없이 순해요
다 좋다는 유명 세럼앰플 사용했을 때에도 악건성민감성인 저에게는 자극이 있었어가지구 수분 맛집이라는 토리든껄 처음으로 사봤어요 기능 안바라고 수분 충전용으로 구매했는데 와ㅠㅠ 만족합니다 토리든 토너 사용 후에 이거 사용하니까 피부가 수분을 머금는게 느껴져요ㅠㅠ 양도 총 100에 할인가 25000원이라 재구매 의사 500입니다 올영 세일 쟁일 제품이 늘었네요ㅎㅎ,건성에 좋아요,보습에 좋아요,자극없이 순해요
작년겨울에 토리든제품을 지인이 선물을 해줬었어요 작년 겨울에 무난히 잘썼던 기억이 났고 항상 올리브영 랭킹에 순위가 올라 와있고 리뷰 수도 많아서 올영에서 행사를 하길래 세럼하고 마스크팩등 이것저거 구매를 했는데요 예전에 선물을 받았던 제품하고는 틀립니다 제가 없는사이에 엄마가 박스를 개봉해놔 버려서 교환도 못하겠네요 세럼을 포장한건지 제품 불량인지 몰라도 제품이 다새서 왔네요 이거보고 깜짝 놀랐습니다 포장을 그만큼 꼼꼼히 해야하는거 아닌가요 리필제품은 써보지도 않고 버리게 되었네요 피부타입은 건조한편이라서 영양가있는크림이나 수분세럼을 사용하는데요 이제품은 이상해요 세럼이 예전처럼 흡수가 안되고 겉돌아요 처음썼을때 촉촉하다고 느꼈었는데 지금은 이상하게 보습력이 안되네요 금방 건조해지는거 같아요 이게 왜이러지 예전에는 안그랬는데 토리든 첨에 잘써본 1인으로서 속상하네요 행사하는제품이랑 기존제품을 다르게 만드는건 아닌가 의심이 드네요 양도 더 적어진거 같고 피부가 건성인데 더 건조 합니다 토리든은 빠이빠이,지성에 좋아요,주름/미백에 좋아요,자극이 느껴져요
산지 안되었는데 좋아서 빨리 비우고있어요 복합성이라 토너세럼단계에서 공을 들이는 편인데 피부에 딱이에요 다쓰면 또살거같네요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
자극 순해서 부담 바르기 좋아요 추천해요,건성에 좋아요,보습에 좋아요,자극없이 순해요
토리든 토너바르고 얼굴이 당기는데 세럼을 바르니 괜찮아요흡수잘되고 촉촉합니다,건성에 좋아요,보습에 좋아요,자극없이 순해요
두달 후면 40대가 되는 저에게는 그닥 촉촉한지 모르겠어요 후기 샀는데 기대한걸까요 겉도는 느낌 그런가요 롤링하면서 한참 두드려줘야 피부겉면만 촉촉한 느낌 있어요 건성피부는 비추 촉촉이란 단어 쓰면 안될듯,복합성에 좋아요,진정에 좋아요,자극없이 순해요
푸른빛의 투명한 색이고 묽은편이에요 겨울에 촉촉한 인생세럼 보습이 너무너무 잘돼서 좋아요 수분폭탄이에요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
워낙 유명해서 전부터 써보고 싶었는데 마침 세일해서 좋은 가격에 리필까지 구매하게 되었어요 올리브영에서 파는 제품들이랑 비교했을 히알루론산이 많인 편에 속하는 제품이라 가성비인 같아요 건성이고 아침저녁으로 모공세럼이랑 발라주려고 예상했던 가볍고 흡수력 좋아서 건조한 겨울 시즌 유용하게 쓸 같아요 속보습 기대중,건성에 좋아요,보습에 좋아요,자극없이 순해요
저번 세일 50리필 기획으로 샀었는데 레전드로 촉촉하고 좋았는데 두통 다 써가서 이번에 기획으로 질렀습니당 요철좁쌀피분데 좁쌀 진심 다 들어갔고 요철도 옅어지면서 피부가 매끈매끈해진게 느껴져용 같이온 크림도 써봤는데 촉촉하고 좋네연,복합성에 좋아요,보습에 좋아요,자극없이 순해요
비슷한 수분세럼들 중애 재 피부에 토리든이 잘 맞았어요 가볍고 피부 자극없어서 여러번 덧발라도 되고 여름에 사용하기 좋은데 보습이 잘 되는지는 모르겠어요,복합성에 좋아요,보습에 좋아요,자극없이 순해요
토리든 히알루로산 라인 너무너무 좋아해서 팩도 잘 쓰고 크림도 써봤구요 앰플은 벌써 4통째입니당 지성에게 최고,복합성에 좋아요,진정에 좋아요,보통이에요
브랜드 세일해서 가격도 저렴하고 리필구성이라 더 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
과하지 않고 진정되는 느낌이라 좋아요 무난하게 쓰기 좋은 거 같아요,지성에 좋아요,진정에 좋아요,자극없이 순해요
아 이거 좋아요 흡수 잘되고 보습감도 장난 아닙니다 여름에는 단독사용 후 선크림 지금같은 겨울에는 어바웃미 크림하나더 레이어링 다른거 필요없어요 강추,복합성에 좋아요,보습에 좋아요,자극없이 순해요
몇가지 히알루론산 세럼을 사용해봤지만 발림성부터 바르고 난 후에도 촉촉하니 좋네요,건성에 좋아요,보습에 좋아요,자극없이 순해요
가을 겨울용으로 무난 부드럽게 펴발라짐 약간의 향이 있는데 나쁘지 않음 듬뿍 발라서 금방 써요 도움이 돼요,건성에 좋아요,보습에 좋아요,자극없이 순해요
몇통을 산건지 맘에 들고 화장하기전에 사용하기 좋아욤,건성에 좋아요,진정에 좋아요,자극없이 순해요
촉촉하고 기분좋아서 재재구매했다 더 비싼 히알루론산으로 갈아탔다가 돌아왔어요 우리동네 뉴오픈 올영에서 2만원구매시 오픈사은품 엄청마니 받고 기분좋아 찍었어요,건성에 좋아요,보습에 좋아요,자극없이 순해요
토리든 앰플 옛날부터 꾸히 재구매해서 쓰고 있어용 보통 앰플이나 에센스도 두겹정도 레이어드해서 사용하는 걸 좋아하는데 맨처음으로 바르면 흡수도 잘되고 촉촉해서 좋아요 기본 수분감 채워주는 앰플 찾으시는 분들께 추천하고 레이어드해서 사용하는 것도 좋아요,건성에 좋아요,보습에 좋아요,자극없이 순해요
