불용어 제거 리뷰,피부타입,발림성,자극도
제품을 구매했다가 최근에 허위기재 기사를 환불신청했습니다 본사 홈페이지에는 구매일자나 제조일자에 언급은 없고 구매한 고객에게 교환 환불을 해준다고 했습니다 이미 시험결과 완료된 제품이니 사용해된다고 환불이 안된다는 답변을 받았습니다 구매일자나 제조일자에 언급이 없었다고 하니 네가 원하는게 환불이니 해주겠다는 답변을 받았습니다 허위기재도 모자라서 상담내내 웃으면서 네가 원하는게 환불이니 해주겠다는 상담원의 태도가 기분이 나빴습니다 해당 브랜드에서 잘못해서 환불신청을 했는데 사과는 커녕 소비자를 조롱하는 말투에 브랜드 신뢰도가 더 떨어졌습니다,지성에 좋아요,다소 아쉬워요,자극이 느껴져요
흠 올영 갈때마다 품절이어서 궁금해서 사서 써봄 생각보다 만족하지는 않았음 유튜버들도 많이들 추천하는데 내가 잘못바른건가 촉촉하기는 다 바르고 나면 생각보다 기름지고 흡수되면서 발리는 느낌은 아니어서 손이 잘 안가게됨,건성에 좋아요,다소 아쉬워요,자극없이 순해요
한줄 평 라이트한 사용감의 유기자차 선크림 저는 수부지 트러블 존재하는 민감성 피부입니다 가볍다 저는 싸이닉 선크림을 열심히 썼는데 라운드랩 자작나무 선크림이 라이트하게 좋다고 해서 한 번 써보자하고 구매해봤는데 가볍더라고요 개인적으로 싸이닉 선크림이랑 되게 사용감이 비슷하다고 생각됐는데요 싸이닉 선크림보단 더 유분감이 덜하고 조금더 빨리 유분막이 더 잘 날라가는 가벼운 느낌이 들었어요 겨울이라 더 할 수도 있기는 한데요 시간이 지나면서 사라락하고 수분감과 유분감이 날아가서 시원합니다 싸이닉 제품도 되게 수분선크림 느낌이라 좋았는데 가끔 초반의 유분감을 참기 싫을 때가 종종 있었거든요 조금의 유분감도 허용할 수 없지만 유기자차를 놓을 수 없다하는 사람이라면 좋을 같아요 지성 수부지이신분들께 추천드려요 건성인 분들은 겨울에는 자칫 건조하다고 느껴지실 같아요ㅠ 유기자차 개인적으로 민감성 트러블 피부다 보니까 무기자차도 함 써볼까하고 사용해봤었지만 정량을 바르고 나면 피부가 건조해져서 트러블이 더 생기더라고요 ㅠ 겨울에 무기자차를 사용해서 뒤집어진 경험이 커서 그랬을 수도 있으나 여튼 무기자차는 잘 안맞더라고요 유기자차라는 점이 맘에 들었습니다 유기자차답게 피부화장도 잘먹구요 백탁두 당연히 없고아주 좋습니다 저는 유기자차가 편하더라구요 라운드랩 브랜드 솔직히 선크림 선지수 논란이 크게 일어났을 대응이 별로인 브랜드들이 꽤 많아서 아 뭐야 찾고 싶지 않은 브랜드들이 있는데 라운드랩은 대응을 잘하기도 했고 리뉴얼 딱해서 내놓는 게 브랜드 가치를 올려줬다고 생각해요 여튼 브랜드 자체도 마음에 들었습니다 문제가 있을 해결방식이 중요하다고 봄는 편이라 날아간다 음 위에서 장점으로 언급하였으나 수분 선크림이라서 촉촉함을 원하는 분들이시면 아쉬울 같아요ㅠ 싹 날아가는 느낌이라 피부에 남는 감이 별로 없는 기분이라 겨울바람에 약간은 건조하다고 느껴지기도 했습니다 추천 나는 라이트한 선크림을 찾는다하시는 분들 무기자차는 싫은데 유기자차의 무거운 느낌이 싫은 분들 화장 잘먹는 선크림 찾는 분들 수부지 지성인 분들께 추천드립니다 수분 선크림 찾는 분들이라면 가성비 좋고 살짝의 무거움이 초반에 있어도 괜찮다면 싸이닉 제품을 라이트하고 산뜻한 유기자차 선크림을 원한다면 라운드랩 자작나무 선크림을 추천드려요 리뷰가 도움이 되셨다면 부탁드릴게요,지성에 좋아요,아주 만족해요,자극없이 순해요
단점 주의 레티놀이나 비타민 제품 쓰시는 분은 무기자차 선크림을 이용하세요 사실 구매동기가 닥터지 선크림유기자차 선크림과 나이아신 아마이드 레티놀이 포함된 기초 제품을 썼을때 너무 따가워서 산거였어요 제품은 닥터지 더 따갑더라구요 제품의 문제라기 유기자차 선크림의 한계인가봐요 제품 쓰고 따가움을 느끼는 분들이라면 피부를 탓하지 마시고피부는 잘못이 없잖아요 기초 라인을 바꿔보세요 비타민 레티놀 만 없어도 충분히 덜 따가우실겁니다 제가 쓰는 기초 라인은 비타민이 들어 있어서 모닝 케어 루틴을 바꿔야 할 같아요 입구가 넓어요 얼굴에 펌핑해서 바르는 걸 좋아하는데 제품은 입구가 넓다보니 양 조절이 어렵네요 2주 경과 후기 눈 시림이 있습니다 자극감 없는 수분 진정 라인을 썼을때도 입가나 코 주위 눈 아래 약한 피부에는 따가움이 느껴지네요 ㅠ 요철 부각 수분라인이랑 쓰면 자극 덜하고 화장도 덜 뜨는데 요철 부각이 있어요ㅠ 더 매트한 걸로 바꿔야 할 듯 싶네요 장점 1 발림성 선크림이 유분이 강한 느낌이라면 이거는 이름답게 수분이 강한 느낌이에요 촉촉한 기초 제품 바르는 느낌이랄까 그만큼 화장도 잘 안뜨고 좋네요 2 백탁현상 백탁 없슴다 3 화장과의 궁합 저는 퓌 쿠션을 사용 중입니다 양 조절을 못해 화장이 뜨는 경우가 종종 있었는데 선크림은 수분이 많아서 그런지 양 조절을 실패해도 절대 뜨지는 않더라구요 화장 초보 분들에게 추천합니다 4 기초 제품 궁합 토리든 다이브인 등의 수분 제품 다 수분 충전 제품이라 화장하기 전에 발라주면 좋은데 요철 부각 있어요 마데카소사이드 기초 제품 병풀 추출물이나 마데카소사이드 제품을 과하게 쓰면 따가워요 토너 정도나 세럼 정도는 썼을때 괜찮더라구요 대신 3시간 지났을때 건조함 느껴집니다 비타민 제품 비타민은 나이트 케어로만 선크림이랑 쓰면 따가워요 5 총평 비타민 마데카소사이드 기초라인을 즐겨 쓰시는 분들이라면 무기자차 선크림으로 사세요 유분이 많은 선크림 화장이 무너진다면 사세요,지성에 좋아요,보통이에요,자극이 느껴져요
라운드랩 선크림을 잘 쓰고 있었는데 자외선 차단 지수 논란에 소비자를 기만했단 생각에 배신감이 들어서 갖고 있던 걸 다 버렸어요 그러다 최근 자외선 차단 지수 검증을 받은 선크림을 재출시했다고 해서 구매했습니다 제조일자를 확인해보니 리뉴얼한 제품이 맞더라구요 유튜브에서도 공식적으로 검사를 한 결과치를 보니까 믿고 구매하셔도 좋을 듯 합니다 이번에 리뉴얼 된 라운드랩 선크림은 발림성이 부드러워요 에센스 타입의 유기자차여서 백탁현상도 없고 수부지인 제가 발랐을 건조하지도 않지만 번들거리지도 않습니다 눈시림도 없고 선크림을 바른 후 메이크업이 밀리지도 않아서 얼굴에 넉넉하게 바르기에 좋습니다 얼굴에 백탁현상이 있는 걸 싫어해서 무기자차를 사용하지 않는 제게 제품은 마음에 들었어요 라운드랩 제품도 좋아하는 제게 있어 자외선 차단 표기 문제로 라운드랩 브랜드 자체에 실망을 했는데 라운드랩의 빠른 피드백으로 고객의 신뢰를 얻을 수 있는 계기가 되었으면 합니다,복합성에 좋아요,아주 만족해요,자극없이 순해요
라운드랩 자작나무 수분선크림 꼭꼭 써주세요 아직도 안 써봤어요 단점이 없는 완벽한 선크림 입니다 작년에 후기 좋아서 구입하고 써보고 좋아서 11 기획 세트 사려니 없더라구요 할인해서 25000원이였는데 쓸때마다 감동받으며 썼습니다 다 써서 재구매하려고 보니 판매중지 되서 매일 들어왔습니다 기다렸는데요 그동안 아껴 썼습니다 리뉴얼되서 나왔다는데 잘 못 느끼겠습니다 용기 튜브라 양조절이 쉽고 끝까지 위생적으로 쓸 수 있고 편리합니다 제형 촉촉한 수분크림 제형입니다 발림성 자극정도 촉촉해서 부드럽고 잘 발림니다 자극적이지 않았습니다 백탁현상 마무리감 수분 크림 제형이라 백탁현상 전혀없습니다 톤 보정 단 1도 없습니다 바른 느낌이 없을 정도로 가볍습니다 흡수도 빠르고 산뜻하게 마무리됩니다 답답한거 싫은 남성들도 추천 추천피부 추천계절 지성피부 복합성피부 산뜻한 선크림 찾는 유목민 사계절 모두 자작나무 선크림은 한 여름에 써보면 진가를 알게되겠습니다 총평 직업이 외근직이라 야외활동이 많은데 30대까지 선크림 안바르고 쿠션이나 파운데이션만 발랐습니다 선크림을 바르고 나면 답답하고 기름지고 화장이 밀려서 안 발랐습니다 잡티와 기미가 짙어지는걸 선크림은 꼭 발라야겠다는걸 느끼고 후기 좋은 선크림은 다 써봤습니다 라운드랩 제품들 좋은건 알았지만 선크림이 마음에듬니다 유분은 단1도 없고 수분크림 같아서 발림성 좋고 흡수 빠르고 바른게 느껴지지 않을 가벼웠습니다 화장을해도 방해가 안되고 흡수를 도와줍니다 두껍게 발라도 밀리거나 기름 지지 않습니다 땀 나는 여름에는 더 더욱 선크림 바르기 싫은데 찾았습니다 판매중지 단종시키지 말아주세요 2개 세트 기획도 판매해주세요,지성에 좋아요,아주 만족해요,자극없이 순해요
피부타입 수부지 민감 화장품 안 맞으면 좁쌀 생김 민감한 편이라 무기자차 혼합자차를 주로 사용해 오다가 지겨워서 자차 바꿔보고자 올영 랭킹에 있는 제품들 리뷰를 한 달 훑은 같아요 그러다가 랭킹 1위 제품이고 최근 방송 나온 분이 사용한다기에 구매했는데요 결론은 자외선 차단이 잘 되는지 모르겠어요 민감 피부에 자극도 처음 발랐을 예민한 피부이다 보니 살짝 자극이 느껴졌는데 타사 제품 유기자차 사용할 때에 비해 자극이 적은 편이었어요 두 번째 사용 때는 자극적으로 느껴지지가 않았고요 그렇다고 물리적 자차처럼 아무렇지 않은 것도 아니었어요 눈시림 후기에 눈시림이 있다는 글들이 많아서 전 눈꺼플까지 바르는 편이라 걱정했는데 저는 눈시림이 없었어요 이거 바르고 낮에 외출한 날 자외선차단제를 발랐는데도 해가 얼굴에 유독 따갑게 느껴졌어요 순간 자외선 차단이 잘 안 되는 같다는 생각이 들긴 했는데 아니나 다를까 그날 이후 얼굴에 잡티를 얻었네요 하아 그날 메이크업 선크림만 바르긴 했어요 파운데이션까지 했으면 달랐을라나 경험은 그래요 자외선 차단 잘 안 되는 같아요,복합성에 좋아요,보통이에요,자극이 느껴져요
수분선크림 유명해서 구매해서 한달째 사용중인데 다른데는 괜찮은데 눈시림이있음 지우개처럼 밀리는거 같아서 재구매는 다신 안할생각임,복합성에 좋아요,아주 만족해요,보통이에요
한달넘게 쓴 솔직후기 매우솔직함주의 반영구눈썹아이라인입술3년됨 사진보정 화장 본인피부 복합성속건조 존존 약간지성 존화이트헤드가 있음 제 본인 피부를 어느정도 설명드려야 도움이 되실 듯 하여 적습니다 이전에 피부 뒤집어지고 난리났었고 지금은 나아진 상태임 선크림은 4계절 필수 요약만 해놓은 부분있으니 바쁘신 분은 요약만 보셔용 제형 부드러운 크림 제형 흰색에 수분크림 같아요 유수분 리뷰에서 말하는 것처럼 선크림보단 수분크림 같아요 시간없는 날엔 기초화장 건너뛰고 스킨 라운드랩 선크림 발라도 좋은 정도로 촉촉해요다만 간지러운 적도 있어요 ㅠ 적당한 유분감으로 끈적이지 않아요 발림성 흡수도 빠르고 선크림 특유의 답답함이 없어서 발림성은 지금까지 바른 선크림 중 용량 적습니다 용기는 예쁜데 작아서 세일할때 쟁이는게 향 무향입니다 백탁 없어요 얼굴에 바를때엔 최소 30분전에 바르셔야해요 23시간 후엔 덧발라주셔야 자외선 차단이 잘 됩니다 이마부터 주름 안지게 결대로 바르면서 난 후에 피부에 수분이란 수분은 다 갖다때려부은것 좋아요 수분보습이 유수분이 밸런스가 잘 맞아야지 하는데 유분기는 느끼질 못해서 피부에 추천 트러블이 더 나거나 그러진 않음 요약 1트러블 안남 베리베리굿 2발림성 굿 3바른뒤 촉촉 4백탁기 없어요 5속건조도 잘 잡아줘요 6무자극 7용량은 작아요 8흡수력이 빠름 9레이어링 발라주고 얼굴로 감싸면서 흡수 자주 덧발라주기 도움이 되셨길 바라며 도움이됐어요 리얼솔직리뷰입니다 사진 차례대로 바르고 있는 모습이예요,건성에 좋아요,아주 만족해요,자극없이 순해요
전 중성민감한피부입니다 피부한번 뒤집어져서 피부과의 힘을 받은뒤로 2년이제 피부도 괜찮아진거같아서 피부과화장품 아닌것도 조금씩 도전해보고 있어요 성분보고 골랐는데도 피부에 자극 일어나서 씻고 이크림만 안발랐더니 간지러운게 사라졌어요화장품을 샀다보니 제가 무심코 지나쳤는데 자외선차단성분 때문인거같아요에틸헥실트리아존이 자외선차단성분인데 유기자차더라고요민감성한텐 안좋다고 적혀있기만해도 지나치진않았을텐데ㅠㅠ피부가 민감하게되고나서는 이런자극이 느껴서 좋지만 한편으로는 단점도되네요 이크림은 바디용으로 넘겨야겠습니다바디도 민감한편이지만 뒤집어진적은 없어서 페이스보다는 둔하고 강하거든요바디도 피부의 일부라 자차발라줄라고 노력중이거든요그런데 바디에도 안맞으면 어떡하지ㅠㅠ 발림성 좋고 수분감은 있어요악건성이신분들은 기초 충분히 발라주셔야되요그 외 지성분들은 번들거릴 듯 합니다건성복합성중성비민감성 추천합니다중성인 저한테도 촉촉한데 유분이 많다고 느꼈어요좀 무겁게 느껴졌거든요전 기름기보다는 산뜻한게 좋아요중성용 화장품이 안나와서 화장품고르기 힘들어요건성지성민감성에게만 치우쳐있어서차라리 고른다면 수부지들님들 후기를 봅니다그리고 썬크림은 개봉 후 6개월안에 쓰는게 좋아요피부한번 뒤집어졌다 돌아온뒤로는 유통기한 남았어도 개봉 후 6개월근처되니깐 그것도 피부에 자극되서 간지러우면서 오돌토돌 뭐가 나더라고요,건성에 좋아요,아주 만족해요,자극이 느껴져요
